FrameName;Sender;Listener
o20;[1, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0]
o1;[1, 1, 1, 1, 1, 1, 1, 0];[1, 0, 0, 0, 0, 0, 0, 0]
o18;[1, 1, 1, 1, 1, 1, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0]
o4;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 1, 0, 0, 0, 0, 0]
o13;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 0, 1, 0, 0, 0, 0]
o6;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 0, 0, 0, 1, 0, 0]
o10;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 0, 0, 1, 0, 0, 0]
o15;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 1, 0]
o2;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
o17;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
o3;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 1, 0]
o19;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0]
o7;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0]
o16;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0]
o8;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
o11;[1, 1, 1, 1, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0]
o14;[1, 1, 1, 1, 0, 0, 0, 0];[1, 0, 0, 0, 0, 0, 0, 0]
o9;[1, 1, 0, 0, 0, 0, 0, 0];[1, 0, 0, 0, 0, 0, 0, 0]
o12;[1, 0, 0, 0, 0, 0, 0, 0];[1, 0, 0, 0, 0, 0, 0, 0]
o5;[1, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0]
i20;[1, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0]
i1;[1, 1, 1, 1, 1, 1, 1, 0];[1, 0, 0, 0, 0, 0, 0, 0]
i18;[1, 1, 1, 1, 1, 1, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0]
i4;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 1, 0, 0, 0, 0, 0]
i13;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 0, 1, 0, 0, 0, 0]
i6;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 0, 0, 0, 1, 0, 0]
i10;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 0, 0, 1, 0, 0, 0]
i15;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 1, 0]
i2;[1, 1, 1, 1, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
i17;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
i3;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 1, 0]
i19;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0]
i7;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0]
i16;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0]
i8;[1, 1, 1, 1, 0, 0, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
i11;[1, 1, 1, 1, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0]
i14;[1, 1, 1, 1, 0, 0, 0, 0];[1, 0, 0, 0, 0, 0, 0, 0]
i9;[1, 1, 0, 0, 0, 0, 0, 0];[1, 0, 0, 0, 0, 0, 0, 0]
i12;[1, 0, 0, 0, 0, 0, 0, 0];[1, 0, 0, 0, 0, 0, 0, 0]
i5;[1, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0]
d20;[1, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0]
d1;[1, 1, 1, 1, 1, 1, 1, 1];[1, 0, 0, 0, 0, 0, 0, 0]
d18;[1, 1, 1, 1, 1, 1, 1, 1];[0, 1, 0, 0, 0, 0, 0, 0]
d4;[1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 1, 0, 0, 0, 0, 0]
d13;[1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 1, 0, 0, 0, 0]
d6;[1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 1, 0, 0]
d10;[1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 1, 0, 0, 0]
d15;[1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 1, 0]
d2;[1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 1]
d17;[1, 1, 1, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
d3;[1, 1, 1, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 1, 0]
d19;[1, 1, 1, 0, 0, 0, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0]
d7;[1, 1, 1, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0]
d16;[1, 1, 1, 0, 0, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0]
d8;[1, 1, 1, 0, 0, 0, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
d11;[1, 1, 1, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0]
d14;[1, 1, 1, 0, 0, 0, 0, 0];[1, 0, 0, 0, 0, 0, 0, 0]
d9;[1, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 1, 0]
d12;[1, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 1, 0]
d5;[1, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0]
t20;[1, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0]
t1;[1, 1, 1, 1, 1, 1, 0, 0];[1, 0, 0, 0, 0, 0, 0, 0]
t18;[1, 1, 1, 1, 1, 1, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0]
t4;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
t13;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0]
t6;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0]
t10;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0]
t15;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 0, 0, 0, 0, 1, 0]
t2;[1, 1, 1, 1, 1, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
t17;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
t3;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 1, 0]
t19;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0]
t7;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0]
t16;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0]
t8;[1, 1, 1, 1, 1, 0, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
t11;[1, 1, 1, 1, 1, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0]
t14;[1, 1, 1, 1, 1, 0, 0, 0];[1, 0, 0, 0, 0, 0, 0, 0]
t9;[1, 1, 0, 0, 0, 0, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
t12;[1, 0, 0, 0, 0, 0, 0, 0];[0, 0, 1, 0, 0, 0, 0, 0]
t5;[1, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0]
be;[1, 1, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0]
dbe;[1, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0]
out;[0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0]